"","Tam","Rep","Gap","Time"
"datos",75000,1,1.57214600291136,0
"",75000,2,2.7166493782254,79.9999999999272
"",75000,3,4.08906390018916,0
"",75000,4,2.8453132396595,9.99999999999091
"",75000,5,1.12979508720482,0
"",75000,6,0.22914805716608,19.9999999999818
"",75000,7,0.156843527136225,0
"",75000,8,2.00102554102503,19.9999999999818
"",75000,9,1.85889030199805,9.99999999999091
"",75000,10,0.400699872411553,0
"",75000,11,2.12968940245913,20.0000000002092
"",75000,12,1.40059418766588,9.99999999999091
"",75000,13,5.84747000645525,0
"",75000,14,3.630767785857,19.9999999999818
"",75000,15,2.1725773562705,0
"",75000,16,0.443587826222914,9.99999999999091
"",75000,17,0.786691456713858,0
"",75000,18,1.04401917958207,19.9999999999818
"",75000,19,1.61503395672272,0
"",75000,20,0.700915549091108,9.99999999999091
"",75000,21,0.18626010335472,19.9999999999818
"",75000,22,3.03033643249786,0
"",75000,23,0.18626010335472,19.9999999999818
"",75000,24,0.829579410525233,0
"",75000,25,1.81600234818668,9.99999999999091
"",125000,1,1.57214600291136,0
"",125000,2,0.722964517446289,19.9999999999818
"",125000,3,0.465636794578081,9.99999999999091
"",125000,4,0.51220855232112,19.9999999999818
"",125000,5,1.12979508720482,0
"",125000,6,2.08190766181716,9.99999999999091
"",125000,7,1.85520649806637,19.9999999999818
"",125000,8,0.640872413755217,0
"",125000,9,1.38712281007301,0
"",125000,10,0.0747514234451668,9.99999999999091
"",125000,11,0.1262169680188,20.0000000002092
"",125000,12,1.05259677034434,0
"",125000,13,1.1555278594916,9.99999999999091
"",125000,14,0.54283511143853,19.9999999999818
"",125000,15,0.980292240314483,0
"",125000,16,0.517102339151714,0
"",125000,17,1.90177825580941,19.9999999999818
"",125000,18,0.0539124379889445,9.99999999999091
"",125000,19,1.44348214147725,69.9999999999363
"",125000,20,1.46921491376408,9.99999999999091
"",125000,21,1.623611547485,0
"",125000,22,0.795269047476145,19.9999999999818
"",125000,23,0.620033428298994,9.99999999999091
"",125000,24,2.54509756297993,0
"",125000,25,0.898200136623411,0
"",200000,1,0.0844012130527142,19.9999999999818
"",200000,2,3.2447762015547,9.99999999999091
"",200000,3,0.880577747703057,20.0000000002092
"",200000,4,0.920716312374388,9.99999999999091
"",200000,5,0.172926509815494,19.9999999999818
"",200000,6,0.00398629965639638,9.99999999999091
"",200000,7,0.751913886268945,19.9999999999818
"",200000,8,1.00924160913715,9.99999999999091
"",200000,9,0.430254232683703,19.9999999999818
"",200000,10,0.936799295053643,0
"",200000,11,1.04938017380848,29.9999999999727
"",200000,12,1.49970368882785,0
"",200000,13,0.655415990193372,9.99999999999091
"",200000,14,2.66578882510123,29.9999999999727
"",200000,15,0.784079851627469,19.9999999999818
"",200000,16,0.373894901279447,19.9999999999818
"",200000,17,0.341728935920923,9.99999999999091
"",200000,18,1.40320579275227,20.0000000002092
"",200000,19,1.24237596595964,9.99999999999091
"",200000,20,0.759886485581752,19.9999999999818
"",200000,21,0.73583090358969,9.99999999999091
"",200000,22,1.49173108951505,19.9999999999818
"",200000,23,2.10288443132704,9.99999999999091
"",200000,24,1.25845894863891,19.9999999999818
"",200000,25,0.269424405891067,19.9999999999818
"",3500000,1,0.401304863861032,359.9999999999
"",3500000,2,0.0765894786084997,320.000000000164
"",3500000,3,0.206172367624277,299.999999999955
"",3500000,4,0.0021482444930493,299.999999999955
"",3500000,5,0.0168526857998118,329.999999999927
"",3500000,6,0.0805642378574417,310.000000000173
"",3500000,7,0.1118111756343,359.9999999999
"",3500000,8,0.110593499130371,279.999999999973
"",3500000,9,0.533346186699576,340.000000000146
"",3500000,10,0.270802947263574,299.999999999955
"",3500000,11,0.0499376787400025,299.999999999955
"",3500000,12,0.123459885273786,339.999999999918
"",3500000,13,0.0235845277937531,310.000000000173
"",3500000,14,0.29439901546481,299.999999999955
"",3500000,15,0.173087374684087,299.999999999955
"",3500000,16,0.097106734327537,339.999999999918
"",3500000,17,0.261612671446853,340.000000000146
"",3500000,18,0.233122816415008,299.999999999955
"",3500000,19,0.643629496500244,339.999999999918
"",3500000,20,0.176143106351348,330.000000000155
"",3500000,21,0.256098505956825,329.999999999927
"",3500000,22,0.176763485010767,309.999999999945
"",3500000,23,0.0254225829571144,309.999999999945
"",3500000,24,0.0830226716802074,340.000000000146
"",3500000,25,0.509451469576092,319.999999999936
"",5000000,1,0.208309071709872,559.999999999945
"",5000000,2,0.267494447969555,450.000000000045
"",5000000,3,0.330149188391863,460.000000000036
"",5000000,4,0.0586684407658976,519.999999999982
"",5000000,5,0.227218099244568,480.000000000018
"",5000000,6,0.0564857152176275,410.000000000082
"",5000000,7,0.548234433522654,470.000000000027
"",5000000,8,0.545661156293971,429.999999999836
"",5000000,9,0.522501661235838,470.000000000027
"",5000000,10,0.122747603856188,470.000000000027
"",5000000,11,0.305450287092616,420.000000000073
"",5000000,12,0.154913569214713,500
"",5000000,13,0.0783585716614337,470.000000000027
"",5000000,14,0.3910117549463,490.000000000009
"",5000000,15,0.353055915823239,449.999999999818
"",5000000,16,0.17961247051396,500
"",5000000,17,0.271354363812579,410.000000000082
"",5000000,18,0.0378294553096752,450.000000000045
"",5000000,19,0.0918682771120057,450.000000000045
"",5000000,20,0.159026252684495,459.999999999809
"",5000000,21,0.332722465620532,420.000000000073
"",5000000,22,0.0976581508765426,480.000000000018
"",5000000,23,0.0069501285655067,410.000000000082
"",5000000,24,0.285507388570336,449.999999999818
"",5000000,25,0.101770834346325,440.000000000055
"",5750000,1,0.134467203408547,570.000000000164
"",5750000,2,0.0225855847702119,609.9999999999
"",5750000,3,0.0367116731081293,559.999999999945
"",5750000,4,0.313477793229916,670.000000000073
"",5750000,5,0.0423057540400311,609.9999999999
"",5750000,6,0.0544718460821389,610.000000000127
"",5750000,7,0.557939129954709,549.999999999955
"",5750000,8,0.0736326072587779,640.0000000001
"",5750000,9,0.424940889783198,589.999999999918
"",5750000,10,0.0986650854442869,559.999999999945
"",5750000,11,0.0511153975229864,630.000000000109
"",5750000,12,0.158662637423921,589.999999999918
"",5750000,13,0.071254088877887,559.999999999945
"",5750000,14,0.318093943983571,630.000000000109
"",5750000,15,0.0456622025991978,659.999999999854
"",5750000,16,0.418787400758088,560.000000000173
"",5750000,17,0.353896061947831,579.999999999927
"",5750000,18,0.192227123015432,609.9999999999
"",5750000,19,0.204393215057525,640.0000000001
"",5750000,20,0.024263809049781,619.999999999891
"",5750000,21,0.254739943444784,610.000000000127
"",5750000,22,0.626746325417299,609.9999999999
"",5750000,23,0.112791173782204,690.000000000055
"",5750000,24,0.465077386484872,640.0000000001
"",5750000,25,0.0132165331940763,609.9999999999
"",7000000,1,0.0577494131842312,870.000000000118
"",7000000,2,0.0548314655706109,859.9999999999
"",7000000,3,0.303887940203779,940.000000000055
"",7000000,4,0.297914260922897,799.999999999955
"",7000000,5,0.170169427070466,859.9999999999
"",7000000,6,0.063562227596506,780.0000000002
"",7000000,7,0.346783587620109,839.999999999918
"",7000000,8,0.0626432000148253,829.999999999927
"",7000000,9,0.168331371907119,779.999999999973
"",7000000,10,0.236040764028629,860.000000000127
"",7000000,11,0.202036743506757,839.999999999918
"",7000000,12,0.00382543478780387,819.999999999936
"",7000000,13,0.367760357129987,839.999999999918
"",7000000,14,0.0935914888694354,870.000000000346
"",7000000,15,0.0297190719432272,769.999999999982
"",7000000,16,0.432253152715628,869.999999999891
"",7000000,17,0.0704549344590398,849.999999999909
"",7000000,18,0.0589670896881454,829.999999999927
"",7000000,19,0.122379992823527,860.000000000127
"",7000000,20,0.228987192297488,860.000000000127
"",7000000,21,0.04242459321805,779.999999999745
"",7000000,22,0.304347453994619,860.000000000127
"",7000000,23,0.0594266034789857,920.000000000073
"",7000000,24,0.345405046247602,750
"",7000000,25,0.154086444391211,869.999999999891
